teamId,teamPosition,championName,win,kills,deaths,assists,visionScore,matchId
200,MIDDLE,Hwei,True,13,11,33,0,SG2_78520173
200,MIDDLE,AurelionSol,True,14,8,22,0,SG2_78520173
100,TOP,Gwen,True,7,0,9,26,SG2_78455311
100,JUNGLE,Shaco,True,7,6,6,24,SG2_78455311
100,MIDDLE,Lucian,True,6,2,8,28,SG2_78455311
100,BOTTOM,Kaisa,True,6,4,7,20,SG2_78455311
100,UTILITY,Milio,True,2,3,20,66,SG2_78455311
200,TOP,Jax,False,2,6,0,8,SG2_78455311
200,JUNGLE,JarvanIV,False,2,6,11,20,SG2_78455311
200,MIDDLE,Zoe,False,4,7,3,27,SG2_78455311
200,BOTTOM,Jhin,False,6,3,5,22,SG2_78455311
200,UTILITY,Janna,False,1,6,9,76,SG2_78455311
100,TOP,Aatrox,False,0,9,4,13,SG2_79202368
100,JUNGLE,Graves,False,8,6,7,32,SG2_79202368
100,MIDDLE,AurelionSol,False,4,8,6,23,SG2_79202368
100,BOTTOM,Draven,False,11,8,6,23,SG2_79202368
100,UTILITY,Neeko,False,3,5,19,76,SG2_79202368
200,TOP,Yorick,True,7,4,3,12,SG2_79202368
200,JUNGLE,XinZhao,True,3,5,6,27,SG2_79202368
200,MIDDLE,Zed,True,11,7,5,21,SG2_79202368
200,BOTTOM,Jinx,True,5,7,13,18,SG2_79202368
200,UTILITY,Veigar,True,10,3,10,58,SG2_79202368
100,TOP,Akali,False,4,5,4,19,SG2_79332146
100,JUNGLE,Amumu,False,2,10,6,15,SG2_79332146
100,MIDDLE,Cassiopeia,False,4,2,5,10,SG2_79332146
100,BOTTOM,Sivir,False,3,6,1,18,SG2_79332146
100,UTILITY,Poppy,False,7,7,6,78,SG2_79332146
200,TOP,Gnar,True,9,3,8,17,SG2_79332146
200,JUNGLE,Kindred,True,12,4,6,40,SG2_79332146
200,MIDDLE,Galio,True,2,6,11,16,SG2_79332146
200,BOTTOM,Ziggs,True,2,3,13,20,SG2_79332146
200,UTILITY,Zoe,True,5,4,10,68,SG2_79332146
100,TOP,Aatrox,True,1,6,6,15,SG2_79426440
100,JUNGLE,Morgana,True,13,5,15,32,SG2_79426440
100,MIDDLE,Hwei,True,8,4,19,30,SG2_79426440
100,BOTTOM,Corki,True,15,1,8,22,SG2_79426440
100,UTILITY,Rell,True,3,4,30,84,SG2_79426440
200,TOP,Fiora,False,5,7,1,17,SG2_79426440
200,JUNGLE,Nidalee,False,10,6,5,25,SG2_79426440
200,MIDDLE,Orianna,False,1,7,7,17,SG2_79426440
200,BOTTOM,Kaisa,False,3,9,4,16,SG2_79426440
200,UTILITY,Thresh,False,1,11,12,69,SG2_79426440
100,TOP,Gwen,True,6,1,2,12,SG2_76407730
100,JUNGLE,Vi,True,4,1,10,18,SG2_76407730
100,MIDDLE,Tryndamere,True,11,4,0,10,SG2_76407730
100,BOTTOM,Smolder,True,3,3,5,18,SG2_76407730
100,UTILITY,Lulu,True,2,4,8,44,SG2_76407730
200,TOP,Ambessa,False,2,7,0,3,SG2_76407730
200,JUNGLE,Elise,False,2,6,3,20,SG2_76407730
200,MIDDLE,Corki,False,4,8,1,7,SG2_76407730
200,BOTTOM,Varus,False,4,4,3,17,SG2_76407730
200,UTILITY,Milio,False,1,1,6,45,SG2_76407730
100,TOP,KSante,False,2,15,34,0,SG2_78849637
100,TOP,Kayle,False,8,11,36,0,SG2_78849637
100,UTILITY,Zilean,False,5,7,39,0,SG2_78849637
100,TOP,Jayce,True,12,1,3,8,SG2_78344946
100,JUNGLE,LeeSin,True,8,2,7,19,SG2_78344946
100,MIDDLE,Taliyah,True,5,1,10,10,SG2_78344946
100,BOTTOM,Draven,True,8,8,1,8,SG2_78344946
100,UTILITY,Blitzcrank,True,3,9,10,69,SG2_78344946
200,TOP,Renekton,False,2,10,0,16,SG2_78344946
200,JUNGLE,Belveth,False,6,6,4,14,SG2_78344946
200,MIDDLE,Smolder,False,3,6,3,11,SG2_78344946
200,BOTTOM,Caitlyn,False,7,4,7,11,SG2_78344946
200,UTILITY,Lux,False,2,10,6,45,SG2_78344946
100,TOP,Shen,False,2,5,6,11,SG2_79354144
100,JUNGLE,Nidalee,False,6,8,1,10,SG2_79354144
100,MIDDLE,Yone,False,2,8,0,7,SG2_79354144
100,BOTTOM,Sivir,False,2,8,2,11,SG2_79354144
100,UTILITY,Braum,False,0,4,3,49,SG2_79354144
200,TOP,Sett,True,4,5,11,9,SG2_79354144
200,JUNGLE,Khazix,True,7,3,8,36,SG2_79354144
200,MIDDLE,Lux,True,11,1,7,17,SG2_79354144
200,BOTTOM,Nilah,True,11,2,5,7,SG2_79354144
200,UTILITY,Soraka,True,0,1,20,74,SG2_79354144
100,TOP,Trundle,False,4,9,0,19,SG2_79353681
100,JUNGLE,Graves,False,3,8,1,24,SG2_79353681
100,MIDDLE,Akali,False,1,6,4,17,SG2_79353681
100,BOTTOM,Caitlyn,False,6,8,4,25,SG2_79353681
100,UTILITY,Neeko,False,3,8,8,68,SG2_79353681
200,TOP,Vladimir,True,5,3,5,20,SG2_79353681
200,JUNGLE,Nocturne,True,5,1,8,31,SG2_79353681
200,MIDDLE,Orianna,True,8,0,8,23,SG2_79353681
200,BOTTOM,Xayah,True,6,9,10,14,SG2_79353681
200,UTILITY,Elise,True,15,4,9,76,SG2_79353681
100,TOP,LeeSin,True,7,6,8,14,SG2_77480108
100,JUNGLE,Lillia,True,5,3,8,21,SG2_77480108
100,MIDDLE,Leblanc,True,5,4,8,14,SG2_77480108
100,BOTTOM,Zeri,True,13,5,7,18,SG2_77480108
100,UTILITY,Lulu,True,2,4,17,58,SG2_77480108
200,TOP,Volibear,False,1,10,3,12,SG2_77480108
200,JUNGLE,JarvanIV,False,5,5,7,13,SG2_77480108
200,MIDDLE,Akali,False,9,4,2,12,SG2_77480108
200,BOTTOM,Kaisa,False,4,7,3,9,SG2_77480108
200,UTILITY,Amumu,False,3,6,12,48,SG2_77480108
100,TOP,Camille,False,8,9,6,18,SG2_77288061
100,JUNGLE,Khazix,False,8,8,9,25,SG2_77288061
100,MIDDLE,Lissandra,False,3,7,12,25,SG2_77288061
100,BOTTOM,KogMaw,False,12,10,10,15,SG2_77288061
100,UTILITY,Pantheon,False,4,12,15,63,SG2_77288061
200,TOP,Riven,True,7,9,4,20,SG2_77288061
200,JUNGLE,Belveth,True,14,4,16,26,SG2_77288061
200,MIDDLE,Ekko,True,11,6,14,19,SG2_77288061
200,BOTTOM,Samira,True,12,8,13,22,SG2_77288061
200,UTILITY,Thresh,True,2,8,25,53,SG2_77288061
100,TOP,Jax,False,3,7,2,22,SG2_78594604
100,JUNGLE,Vi,False,3,6,6,23,SG2_78594604
100,MIDDLE,Lux,False,3,8,2,18,SG2_78594604
100,BOTTOM,Kaisa,False,7,5,2,15,SG2_78594604
100,UTILITY,Nautilus,False,1,5,9,59,SG2_78594604
200,TOP,Ornn,True,4,4,15,17,SG2_78594604
200,JUNGLE,Rengar,True,16,1,7,23,SG2_78594604
200,MIDDLE,Ryze,True,4,3,10,22,SG2_78594604
200,BOTTOM,Sivir,True,5,6,13,18,SG2_78594604
200,UTILITY,Lulu,True,2,3,18,81,SG2_78594604
100,TOP,Chogath,True,7,1,7,15,SG2_78503078
100,JUNGLE,Yone,True,14,3,13,15,SG2_78503078
100,MIDDLE,Diana,True,12,3,5,21,SG2_78503078
100,BOTTOM,Ashe,True,3,6,13,8,SG2_78503078
100,UTILITY,Lulu,True,9,2,18,39,SG2_78503078
200,TOP,Aatrox,False,0,6,4,12,SG2_78503078
200,JUNGLE,Skarner,False,6,11,2,16,SG2_78503078
200,MIDDLE,Viktor,False,4,12,2,15,SG2_78503078
200,BOTTOM,MissFortune,False,3,7,5,13,SG2_78503078
200,UTILITY,Braum,False,2,9,8,43,SG2_78503078
100,TOP,Sion,True,3,2,21,19,SG2_78100893
100,JUNGLE,LeeSin,True,12,6,11,48,SG2_78100893
100,MIDDLE,Sylas,True,13,4,12,25,SG2_78100893
100,BOTTOM,Smolder,True,15,3,11,22,SG2_78100893
100,UTILITY,Zilean,True,1,1,28,113,SG2_78100893
200,TOP,Aatrox,False,1,6,4,27,SG2_78100893
200,JUNGLE,Kindred,False,5,14,7,35,SG2_78100893
200,MIDDLE,Ahri,False,3,12,5,24,SG2_78100893
200,BOTTOM,Ziggs,False,5,4,6,33,SG2_78100893
200,UTILITY,Alistar,False,2,8,10,79,SG2_78100893
100,TOP,Aatrox,False,7,8,7,17,SG2_77167480
100,JUNGLE,Khazix,False,15,8,8,16,SG2_77167480
100,MIDDLE,Xerath,False,9,9,14,45,SG2_77167480
100,BOTTOM,Zeri,False,10,7,9,33,SG2_77167480
100,UTILITY,Yuumi,False,0,4,21,73,SG2_77167480
200,TOP,Yone,True,16,6,9,38,SG2_77167480
200,JUNGLE,LeeSin,True,11,6,9,26,SG2_77167480
200,MIDDLE,Lissandra,True,5,9,13,21,SG2_77167480
200,BOTTOM,Caitlyn,True,2,10,9,12,SG2_77167480
200,UTILITY,Lux,True,2,11,16,67,SG2_77167480
100,TOP,Swain,True,14,3,11,32,SG2_78062067
100,JUNGLE,Rammus,True,5,3,20,14,SG2_78062067
100,MIDDLE,Azir,True,9,6,6,17,SG2_78062067
100,BOTTOM,Ashe,True,15,8,11,46,SG2_78062067
100,UTILITY,Braum,True,1,6,26,71,SG2_78062067
200,TOP,Yone,False,2,12,4,20,SG2_78062067
